"filename", "language", "Python", "HTML", "Markdown", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/README.md", "Markdown", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/app.py", "Python", 216, 0, 0, 0, 0, 14, 70, 300
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/dbManagers/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/dbManagers/loginManager.py", "Python", 71, 0, 0, 0, 0, 3, 20, 94
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/dbManagers/portfolioManager.py", "Python", 57, 0, 0, 0, 0, 0, 19, 76
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/risks/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 2
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/risks/data_fetcher.py", "Python", 19, 0, 0, 0, 0, 2, 5, 26
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/risks/portfolio.py", "Python", 38, 0, 0, 0, 0, 0, 15, 53
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/risks/risk_metrics.py", "Python", 24, 0, 0, 0, 0, 9, 13, 46
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/static/css/main.css", "CSS", 0, 0, 0, 405, 0, 20, 91, 516
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/static/js/confirm-delete.js", "JavaScript", 0, 0, 0, 0, 21, 5, 3, 29
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/static/js/cumulative-performance-chart.js", "JavaScript", 0, 0, 0, 0, 80, 1, 3, 84
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/static/js/monte-carlo-simulation-chart.js", "JavaScript", 0, 0, 0, 0, 104, 0, 9, 113
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/static/js/toggle.js", "JavaScript", 0, 0, 0, 0, 11, 0, 1, 12
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/templates/admin_panel.html", "HTML", 0, 129, 0, 0, 0, 0, 3, 132
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/templates/create.html", "HTML", 0, 61, 0, 0, 0, 0, 0, 61
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/templates/home.html", "HTML", 0, 77, 0, 0, 0, 0, 3, 80
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/templates/index.html", "HTML", 0, 82, 0, 0, 0, 0, 1, 83
"/Users/szymonkopycinski/Documents/Programming/Python/Unfinished Projects/Risk Tool NEFSIF/templates/risk.html", "HTML", 0, 59, 0, 0, 0, 1, 1, 61
"Total", "-", 425, 408, 3, 405, 216, 55, 261, 1773